model,version,accuracy,precision,recall,f1,roc_auc,confusion_matrix
logistic_regression,baseline,0.9855072463768116,1.0,0.9615384615384616,0.9803921568627451,0.9946332737030411,"[[43, 0], [1, 25]]"
logistic_regression,optimized,0.9710144927536232,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.998211091234347,"[[42, 1], [1, 25]]"
random_forest,baseline,0.9710144927536232,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9946332737030411,"[[42, 1], [1, 25]]"
random_forest,optimized,0.9565217391304348,0.9259259259259259,0.9615384615384616,0.9433962264150944,0.9955277280858676,"[[41, 2], [1, 25]]"
